Tier,id,name,position,team,vor,adp,bye,ppg
1,2,Saquon Barkley,RB,PHI,15.52,3.0,9.0,21.09
2,3,Bijan Robinson,RB,ATL,13.54,2.5,5.0,19.11
2,4,Christian McCaffrey,RB,SF,12.3,10.5,14.0,17.87
2,5,Jahmyr Gibbs,RB,DET,10.92,4.0,8.0,16.48
2,6,Derrick Henry,RB,BAL,10.7,11.5,7.0,16.27
2,7,Ashton Jeanty,RB,LV,10.2,10.0,8.0,15.77
2,8,De'Von Achane,RB,MIA,10.1,13.5,12.0,15.67
2,9,Chase Brown,RB,CIN,9.74,22.5,10.0,15.31
2,16,Josh Jacobs,RB,GB,8.39,18.0,5.0,13.96
2,18,Omarion Hampton,RB,LAC,8.2,35.0,12.0,13.77
2,20,Jonathan Taylor,RB,IND,7.72,22.5,11.0,13.29
2,23,James Cook,RB,BUF,6.99,34.0,7.0,12.56
2,25,Kyren Williams,RB,LAR,6.86,25.5,8.0,12.43
2,26,Alvin Kamara,RB,NO,6.11,39.0,11.0,11.68
2,29,TreVeyon Henderson,RB,NE,5.92,53.0,14.0,11.49
2,32,Chuba Hubbard,RB,CAR,5.52,44.0,14.0,11.09
2,33,James Conner,RB,ARI,5.5,50.0,8.0,11.07
2,34,Bucky Irving,RB,TB,5.35,17.5,9.0,10.91
2,40,Joe Mixon,RB,HOU,4.52,59.5,6.0,10.08
2,41,RJ Harvey,RB,DEN,4.28,55.0,12.0,9.85
2,46,Breece Hall,RB,NYJ,3.94,31.0,9.0,9.51
2,53,Kenneth Walker,RB,SEA,3.2,41.5,8.0,8.77
2,56,D'Andre Swift,RB,CHI,2.85,61.5,5.0,8.41
2,57,David Montgomery,RB,DET,2.81,57.0,8.0,8.38
2,65,Jordan Mason,RB,MIN,2.36,100.5,6.0,7.92
2,66,Aaron Jones,RB,MIN,2.36,63.5,6.0,7.92
2,67,Kaleb Johnson,RB,PIT,2.31,71.0,5.0,7.87
2,73,Tony Pollard,RB,TEN,1.9300000000000002,64.5,10.0,7.5
2,93,Quinshon Judkins,RB,CLE,0.91,84.0,9.0,6.48
2,98,Zach Charbonnet,RB,SEA,0.67,103.0,8.0,6.24
2,104,Javonte Williams,RB,DAL,0.11,99.5,10.0,5.67
2,108,Tyrone Tracy,RB,NYG,0.0,77.0,14.0,5.57
2,112,J.K. Dobbins,RB,DEN,-0.13,113.0,12.0,5.43
2,121,Rhamondre Stevenson,RB,NE,-0.84,108.0,14.0,4.72
2,122,Braelon Allen,RB,NYJ,-0.84,147.5,9.0,4.72
2,130,Rachaad White,RB,TB,-1.4,125.5,9.0,4.17
2,133,Sean Tucker,RB,TB,-1.75,239.0,9.0,3.8200000000000003
2,138,Cam Skattebo,RB,NYG,-1.88,106.5,14.0,3.69
2,146,Tank Bigsby,RB,JAX,-2.38,120.5,8.0,3.19
2,150,Austin Ekeler,RB,WAS,-2.47,132.0,12.0,3.1
2,151,Jacory Croskey-Merritt,RB,WAS,-2.47,221.5,12.0,3.1
2,154,Najee Harris,RB,LAC,-2.58,106.5,12.0,2.99
2,157,Jaydon Blue,RB,DAL,-2.8,125.5,10.0,2.77
2,163,Brian Robinson,RB,WAS,-2.91,81.0,12.0,2.66
2,165,Dylan Sampson,RB,CLE,-2.94,157.5,9.0,2.62
2,170,Isiah Pacheco,RB,KC,-3.2800000000000002,60.0,10.0,2.29
2,172,Tyjae Spears,RB,TEN,-3.29,112.5,10.0,2.2800000000000002
2,174,Jaylen Warren,RB,PIT,-3.36,82.5,5.0,2.21
2,179,Rico Dowdle,RB,CAR,-3.62,140.0,14.0,1.9500000000000002
2,185,Kareem Hunt,RB,KC,-3.89,198.0,10.0,1.6800000000000002
2,186,Isaac Guerendo,RB,SF,-3.91,138.0,14.0,1.65
2,187,Bhayshul Tuten,RB,JAX,-4.0,138.5,8.0,1.57
2,188,Jerome Ford,RB,CLE,-4.0,135.0,9.0,1.57
2,192,Travis Etienne,RB,JAX,-4.29,89.0,8.0,1.28
2,193,Ray Davis,RB,BUF,-4.32,139.5,7.0,1.25
2,197,MarShawn Lloyd,RB,GB,-4.65,212.5,5.0,0.92
2,203,Woody Marks,RB,HOU,-4.86,216.5,6.0,0.71
2,211,Nick Chubb,RB,HOU,-5.78,153.0,6.0,-0.22
2,215,Blake Corum,RB,LAR,-6.08,197.5,8.0,-0.51
2,218,Justice Hill,RB,BAL,-6.24,184.0,7.0,-0.67
2,221,Tyler Allgeier,RB,ATL,-6.29,149.0,5.0,-0.72
2,222,Trey Benson,RB,ARI,-6.36,137.5,8.0,-0.79
2,227,Dameon Pierce,RB,HOU,-6.48,272.0,6.0,-0.91
2,230,Jaylen Wright,RB,MIA,-6.7,162.5,12.0,-1.13
2,233,Roschon Johnson,RB,CHI,-6.86,192.0,5.0,-1.29
2,238,Raheem Mostert,RB,LV,-7.0,256.5,8.0,-1.43
2,239,Ty Johnson,RB,BUF,-7.04,278.0,7.0,-1.47
2,242,Tahj Brooks,RB,CIN,-7.09,229.5,10.0,-1.52
2,245,Jarquez Hunter,RB,LAR,-7.15,207.0,8.0,-1.5899999999999999
2,247,Isaiah Davis,RB,NYJ,-7.21,326.0,9.0,-1.6400000000000001
2,252,Ollie Gordon,RB,MIA,-7.38,234.5,12.0,-1.81
2,253,Elijah Mitchell,RB,KC,-7.42,256.0,10.0,-1.85
2,256,Trevor Etienne,RB,CAR,-7.54,265.0,14.0,-1.97
2,257,Kendre Miller,RB,NO,-7.55,264.5,11.0,-1.98
2,258,Kimani Vidal,RB,LAC,-7.63,328.0,12.0,-2.06
2,260,Kyle Monangai,RB,CHI,-7.71,181.0,5.0,-2.14
2,263,Devin Singletary,RB,NYG,-7.76,282.5,14.0,-2.19
2,264,Will Shipley,RB,PHI,-7.83,212.5,9.0,-2.27
2,266,Devin Neal,RB,NO,-7.91,237.5,11.0,-2.34
2,273,Miles Sanders,RB,DAL,-8.12,223.5,10.0,-2.56
2,277,A.J. Dillon,RB,PHI,-8.36,238.0,9.0,-2.8
2,279,DJ Giddens,RB,IND,-8.4,214.0,11.0,-2.83
2,280,Emanuel Wilson,RB,GB,-8.47,320.0,5.0,-2.9
2,292,Jaleel McLaughlin,RB,DEN,-8.86,269.0,12.0,-3.29
2,295,Jordan James,RB,SF,-8.97,261.5,14.0,-3.41
2,297,Samaje Perine,RB,CIN,-9.1,295.0,10.0,-3.54
2,306,Antonio Gibson,RB,NE,-9.31,267.5,14.0,-3.74
2,312,Khalil Herbert,RB,IND,-9.69,297.0,11.0,-4.12
2,314,Kenneth Gainwell,RB,PIT,-9.84,315.0,5.0,-4.27
2,315,Damien Martinez,RB,SEA,-9.91,301.0,8.0,-4.34
2,317,Audric Estime,RB,DEN,-10.02,294.0,12.0,-4.45
2,327,Chris Brooks,RB,GB,-10.62,235.0,12.0,-5.05
2,328,Keaton Mitchell,RB,BAL,-10.62,234.5,7.0,-5.05
2,332,Phil Mafah,RB,DAL,-11.31,333.0,10.0,-5.74
2,334,Brashard Smith,RB,KC,-11.56,213.5,10.0,-5.99
