Tier,id,name,position,team,vor,adp,bye,ppg
1,10,Brock Bowers,TE,LV,9.49,17.5,8.0,21.09
1,14,George Kittle,TE,SF,8.75,39.0,14.0,20.35
1,21,Trey McBride,TE,ARI,7.46,25.0,8.0,19.06
2,72,Tyler Warren,TE,IND,1.9300000000000002,102.0,11.0,13.53
2,79,Mark Andrews,TE,BAL,1.6600000000000001,86.0,7.0,13.26
2,85,Travis Kelce,TE,KC,1.21,70.0,10.0,12.81
2,101,Sam LaPorta,TE,DET,0.38,58.5,8.0,11.98
2,110,Colston Loveland,TE,CHI,0.0,112.0,5.0,11.6
2,116,David Njoku,TE,CLE,-0.38,103.5,9.0,11.22
2,142,Tucker Kraft,TE,GB,-2.12,115.5,5.0,9.48
2,148,Darren Waller,TE,MIA,-2.44,230.0,12.0,9.16
2,160,T.J. Hockenson,TE,MIN,-2.85,67.0,6.0,8.75
2,161,Zach Ertz,TE,WAS,-2.86,159.0,12.0,8.74
2,162,Kyle Pitts,TE,ATL,-2.88,136.5,5.0,8.72
2,189,Mason Taylor,TE,NYJ,-4.08,184.0,9.0,7.52
2,195,Isaiah Likely,TE,BAL,-4.62,175.5,7.0,6.98
2,201,Cade Otton,TE,TB,-4.8100000000000005,178.5,9.0,6.79
2,206,Dallas Goedert,TE,PHI,-4.98,140.5,9.0,6.62
2,207,Hunter Henry,TE,NE,-5.06,154.5,14.0,6.54
2,209,Elijah Arroyo,TE,SEA,-5.43,223.0,8.0,6.17
2,213,Mike Gesicki,TE,CIN,-5.98,197.0,10.0,5.62
2,220,Jake Ferguson,TE,DAL,-6.26,124.5,10.0,5.34
2,224,Taysom Hill,TE,NO,-6.41,273.0,11.0,5.19
2,231,Brenton Strange,TE,JAX,-6.7,170.0,8.0,4.9
2,232,Evan Engram,TE,DEN,-6.84,90.0,12.0,4.76
2,234,Pat Freiermuth,TE,PIT,-6.89,197.5,5.0,4.71
2,235,Cole Kmet,TE,CHI,-6.93,244.0,5.0,4.67
2,243,Jonnu Smith,TE,PIT,-7.12,115.0,5.0,4.48
2,244,Chig Okonkwo,TE,TEN,-7.12,191.5,10.0,4.48
2,255,Dalton Kincaid,TE,BUF,-7.45,128.0,7.0,4.15
2,267,Dalton Schultz,TE,HOU,-7.94,206.0,6.0,3.66
2,285,Noah Gray,TE,KC,-8.65,274.5,10.0,2.95
2,287,Tyler Conklin,TE,LAC,-8.74,268.5,12.0,2.86
2,298,Will Dissly,TE,LAC,-9.13,330.0,12.0,2.47
2,299,Juwan Johnson,TE,NO,-9.14,242.5,11.0,2.46
2,318,Harold Fannin,TE,CLE,-10.14,277.0,9.0,1.46
2,320,Tyler Higbee,TE,LAR,-10.17,295.0,8.0,1.43
2,322,Oronde Gadsden,TE,LAC,-10.25,283.0,12.0,1.35
2,323,Terrance Ferguson,TE,LAR,-10.41,248.0,8.0,1.19
2,326,Ja'Tavion Sanders,TE,CAR,-10.6,222.5,14.0,1.0
2,329,Theo Johnson,TE,NYG,-10.68,262.0,14.0,0.92
2,330,Noah Fant,TE,CIN,-10.98,296.0,10.0,0.62
3,346,Ben Sinnott,TE,WAS,-14.24,285.0,12.0,-2.64
4,347,Zack Kuntz,TE,NYJ,-17.34,259.5,,-5.74
