Tier,id,name,position,team,vor,adp,bye,ppg
1,1,Ja'Marr Chase,WR,CIN,23.25,1.0,10.0,30.6
2,12,Justin Jefferson,WR,MIN,9.16,5.0,6.0,16.52
2,13,CeeDee Lamb,WR,DAL,8.88,5.5,10.0,16.24
2,17,Brian Thomas,WR,JAX,8.38,14.0,8.0,15.73
2,19,Amon-Ra St. Brown,WR,DET,7.9,9.0,8.0,15.26
3,27,Malik Nabers,WR,NYG,6.02,8.5,14.0,13.38
3,30,Puka Nacua,WR,LAR,5.88,9.5,8.0,13.23
3,35,Tee Higgins,WR,CIN,5.15,33.5,10.0,12.5
3,37,Mike Evans,WR,TB,5.07,42.0,9.0,12.43
3,38,Drake London,WR,ATL,5.02,18.5,5.0,12.38
3,39,Nico Collins,WR,HOU,4.54,13.0,6.0,11.89
3,42,A.J. Brown,WR,PHI,4.26,22.0,9.0,11.62
3,43,Ricky Pearsall,WR,SF,4.24,91.5,14.0,11.6
3,44,Emeka Egbuka,WR,TB,4.24,107.0,9.0,11.6
3,45,Terry McLaurin,WR,WAS,4.24,40.0,12.0,11.6
3,47,Davante Adams,WR,LAR,3.85,42.0,8.0,11.21
3,48,Tetairoa McMillan,WR,CAR,3.6,56.5,14.0,10.96
3,49,Jaxon Smith-Njigba,WR,SEA,3.55,30.5,8.0,10.91
3,51,Ladd McConkey,WR,LAC,3.37,25.5,12.0,10.73
3,55,Garrett Wilson,WR,NYJ,3.04,35.5,9.0,10.4
3,59,Rashee Rice,WR,KC,2.69,53.5,10.0,10.05
3,62,Matthew Golden,WR,GB,2.48,91.0,5.0,9.84
3,63,Tyreek Hill,WR,MIA,2.45,28.0,12.0,9.81
3,64,Travis Hunter,WR,JAX,2.4,68.0,8.0,9.76
3,70,Jameson Williams,WR,DET,2.05,59.5,8.0,9.41
3,71,DeVonta Smith,WR,PHI,2.0,54.5,9.0,9.36
3,77,Xavier Worthy,WR,KC,1.76,58.5,10.0,9.11
3,78,Jerry Jeudy,WR,CLE,1.73,70.0,9.0,9.09
3,82,Courtland Sutton,WR,DEN,1.32,50.0,12.0,8.68
3,86,Calvin Ridley,WR,TEN,1.15,67.0,10.0,8.51
3,87,Jordan Addison,WR,MIN,1.07,81.0,6.0,8.43
3,91,Zay Flowers,WR,BAL,0.96,61.5,7.0,8.31
3,92,Cooper Kupp,WR,SEA,0.9400000000000001,87.5,8.0,8.29
3,95,Marvin Harrison,WR,ARI,0.8300000000000001,40.0,8.0,8.19
3,99,DJ Moore,WR,CHI,0.65,46.5,5.0,8.0
3,102,Jauan Jennings,WR,SF,0.18,101.0,14.0,7.54
3,103,Chris Godwin,WR,TB,0.11,84.0,9.0,7.47
3,109,DK Metcalf,WR,PIT,0.0,50.0,5.0,7.36
3,114,Deebo Samuel,WR,WAS,-0.26,84.0,12.0,7.09
3,118,Jayden Reed,WR,GB,-0.72,105.0,5.0,6.64
3,120,Darnell Mooney,WR,ATL,-0.8200000000000001,121.0,5.0,6.54
3,124,George Pickens,WR,DAL,-1.11,64.5,10.0,6.25
3,125,Jakobi Meyers,WR,LV,-1.18,88.5,8.0,6.18
3,127,Chris Olave,WR,NO,-1.26,72.5,11.0,6.1
3,128,Stefon Diggs,WR,NE,-1.33,86.5,14.0,6.03
3,132,Josh Downs,WR,IND,-1.73,111.5,11.0,5.63
3,135,Cedric Tillman,WR,CLE,-1.75,173.0,9.0,5.6
3,136,Rashid Shaheed,WR,NO,-1.76,139.0,11.0,5.6
3,152,Jayden Higgins,WR,HOU,-2.5700000000000003,124.5,6.0,4.79
3,164,Khalil Shakir,WR,BUF,-2.92,94.5,7.0,4.44
3,168,Jaylen Waddle,WR,MIA,-3.16,72.5,12.0,4.19
3,169,Keenan Allen,WR,LAC,-3.17,156.0,12.0,4.19
3,176,Marvin Mims,WR,DEN,-3.55,136.5,12.0,3.81
3,178,Adam Thielen,WR,CAR,-3.62,178.5,14.0,3.74
3,182,Luther Burden,WR,CHI,-3.84,140.5,5.0,3.52
3,183,Rashod Bateman,WR,BAL,-3.85,168.5,7.0,3.51
3,184,Michael Pittman,WR,IND,-3.85,113.0,11.0,3.51
3,191,Alec Pierce,WR,IND,-4.18,206.5,11.0,3.18
3,194,Rome Odunze,WR,CHI,-4.39,81.0,5.0,2.9699999999999998
3,196,Keon Coleman,WR,BUF,-4.63,120.5,7.0,2.73
3,205,Tre' Harris,WR,LAC,-4.97,145.5,12.0,2.39
3,210,Jack Bech,WR,LV,-5.5600000000000005,157.0,8.0,1.8
3,214,Quentin Johnston,WR,LAC,-5.99,207.5,12.0,1.37
3,217,Wan'Dale Robinson,WR,NYG,-6.2,179.5,14.0,1.16
3,219,Jalen McMillan,WR,TB,-6.25,164.0,9.0,1.11
3,223,Kyle Williams,WR,NE,-6.4,173.0,14.0,0.96
