id,name,position,team,vor,adp,bye,ppg
1,Ja'Marr Chase,WR,CIN,23.25,1.0,10.0,30.6
2,Saquon Barkley,RB,PHI,15.52,3.0,9.0,21.09
3,Bijan Robinson,RB,ATL,13.54,2.5,5.0,19.11
4,Christian McCaffrey,RB,SF,12.3,10.5,14.0,17.87
5,Jahmyr Gibbs,RB,DET,10.92,4.0,8.0,16.48
6,Derrick Henry,RB,BAL,10.7,11.5,7.0,16.27
7,Ashton Jeanty,RB,LV,10.2,10.0,8.0,15.77
8,De'Von Achane,RB,MIA,10.1,13.5,12.0,15.67
9,Chase Brown,RB,CIN,9.74,22.5,10.0,15.31
10,Brock Bowers,TE,LV,9.49,17.5,8.0,21.09
11,Josh Allen,QB,BUF,9.42,22.5,7.0,17.46
12,Justin Jefferson,WR,MIN,9.16,5.0,6.0,16.52
13,CeeDee Lamb,WR,DAL,8.88,5.5,10.0,16.24
14,George Kittle,TE,SF,8.75,39.0,14.0,20.35
15,Lamar Jackson,QB,BAL,8.49,23.0,7.0,16.53
16,Josh Jacobs,RB,GB,8.39,18.0,5.0,13.96
17,Brian Thomas,WR,JAX,8.38,14.0,8.0,15.73
18,Omarion Hampton,RB,LAC,8.2,35.0,12.0,13.77
19,Amon-Ra St. Brown,WR,DET,7.9,9.0,8.0,15.26
20,Jonathan Taylor,RB,IND,7.72,22.5,11.0,13.29
21,Trey McBride,TE,ARI,7.46,25.0,8.0,19.06
22,Jayden Daniels,QB,WAS,7.24,29.0,12.0,15.28
23,James Cook,RB,BUF,6.99,34.0,7.0,12.56
24,Joe Burrow,QB,CIN,6.89,37.5,10.0,14.93
25,Kyren Williams,RB,LAR,6.86,25.5,8.0,12.43
26,Alvin Kamara,RB,NO,6.11,39.0,11.0,11.68
27,Malik Nabers,WR,NYG,6.02,8.5,14.0,13.38
28,Jalen Hurts,QB,PHI,5.92,38.5,9.0,13.96
29,TreVeyon Henderson,RB,NE,5.92,53.0,14.0,11.49
30,Puka Nacua,WR,LAR,5.88,9.5,8.0,13.23
31,Baker Mayfield,QB,TB,5.7,70.5,9.0,13.74
32,Chuba Hubbard,RB,CAR,5.52,44.0,14.0,11.09
33,James Conner,RB,ARI,5.5,50.0,8.0,11.07
34,Bucky Irving,RB,TB,5.35,17.5,9.0,10.91
35,Tee Higgins,WR,CIN,5.15,33.5,10.0,12.5
36,Denver Broncos,DEF,DEN,5.07,159.5,12.0,8.96
37,Mike Evans,WR,TB,5.07,42.0,9.0,12.43
38,Drake London,WR,ATL,5.02,18.5,5.0,12.38
39,Nico Collins,WR,HOU,4.54,13.0,6.0,11.89
40,Joe Mixon,RB,HOU,4.52,59.5,6.0,10.08
41,RJ Harvey,RB,DEN,4.28,55.0,12.0,9.85
42,A.J. Brown,WR,PHI,4.26,22.0,9.0,11.62
43,Ricky Pearsall,WR,SF,4.24,91.5,14.0,11.6
44,Emeka Egbuka,WR,TB,4.24,107.0,9.0,11.6
45,Terry McLaurin,WR,WAS,4.24,40.0,12.0,11.6
46,Breece Hall,RB,NYJ,3.94,31.0,9.0,9.51
47,Davante Adams,WR,LAR,3.85,42.0,8.0,11.21
48,Tetairoa McMillan,WR,CAR,3.6,56.5,14.0,10.96
49,Jaxon Smith-Njigba,WR,SEA,3.55,30.5,8.0,10.91
50,Chris Boswell,K,PIT,3.52,248.5,5.0,5.76
51,Ladd McConkey,WR,LAC,3.37,25.5,12.0,10.73
52,Brandon Aubrey,K,DAL,3.32,192.0,10.0,5.55
53,Kenneth Walker,RB,SEA,3.2,41.5,8.0,8.77
54,Houston Texans,DEF,HOU,3.18,192.5,6.0,7.06
55,Garrett Wilson,WR,NYJ,3.04,35.5,9.0,10.4
56,D'Andre Swift,RB,CHI,2.85,61.5,5.0,8.41
57,David Montgomery,RB,DET,2.81,57.0,8.0,8.38
58,J.J. McCarthy,QB,MIN,2.77,134.5,6.0,10.81
59,Rashee Rice,WR,KC,2.69,53.5,10.0,10.05
60,Buffalo Bills,DEF,BUF,2.65,206.5,7.0,6.54
61,Caleb Williams,QB,CHI,2.5300000000000002,107.0,5.0,10.57
