teamName,manager,waiverBudget,waiverPriority,moves,trades,lastLeagueActivity
Another one bites the dust,Emma,$1000,-,0,0,Tue Jul 21 5:30pm EDT
Blitz Squad Joanna,Joanna,$1000,-,0,0,Mon Aug 24 12:38pm EDT
Brookville Bottom Feeders 🔥,James,$1000,-,0,0,Tue Jul 21 5:30pm EDT
Charged Up PastorMikeKirby,PastorMikeKirby,$1000,-,0,0,Mon Aug 24 4:17pm EDT
Front 7 Colt,Colt,$1000,-,0,0,Mon Aug 24 3:57pm EDT
Gear Up Kevin,Kevin,$1000,-,0,0,Tue Jul 21 5:30pm EDT
Green Bay Snackers,Spenser,$1000,-,0,0,Sun Aug 23 3:28pm EDT
Jeffreys,Kyle,$1000,-,0,0,Mon Aug 24 12:13pm EDT
Juicy Juke Jorshe,JorsheCommissioner,$1000,-,0,0,Tue Jul 21 5:30pm EDT
Kyle's Fire,Kyle,$1000,-,0,0,Mon Aug 24 7:42am EDT
Lejames Bron,James,$1000,-,0,0,Sun Aug 23 4:02pm EDT
MVP Jeff,Jeff,$1000,-,0,0,Tue Jul 21 5:30pm EDT
Saucy Move Matt,Matt,$1000,-,0,0,Tue Jul 21 5:30pm EDT
Shotgun Megan,Megan,$1000,-,0,0,Sun Aug 23 6:07pm EDT
Sneaky Play Chase,Chase,$1000,-,0,0,Tue Jul 21 5:30pm EDT
Spin Zone Julia,Julia,$1000,-,0,0,Tue Jul 21 5:30pm EDT
Sunday Kickoff Jason,Jason,$1000,-,0,0,Sun Aug 23 3:32pm EDT
What’s One More?,Heath,$1000,-,0,0,Tue Jul 21 5:30pm EDT
