yahooId,name,team,position,status,rank,percentDrafted,adpPreseason,adpAll,adpLast7
40059,Jahmyr Gibbs,DET,RB,,1,100,1.4,1.4,
40055,Bijan Robinson,ATL,RB,,2,100,2,1.9,
33393,Ja'Marr Chase,CIN,WR,,3,100,3.4,3.3,
40168,Puka Nacua,LAR,WR,Q,4,100,4.8,4.8,
30121,Christian McCaffrey,SF,RB,Q,5,100,5.6,5.6,
32711,Jonathan Taylor,IND,RB,,6,100,7,7,
33500,Amon-Ra St. Brown,DET,WR,,7,100,7.9,7.9,
40041,Jaxon Smith-Njigba,SEA,WR,,8,100,6.8,6.8,
34019,James Cook III,BUF,RB,,9,100,9.8,9.8,
32687,CeeDee Lamb,DAL,WR,,10,100,10.4,10.4,
30972,Saquon Barkley,PHI,RB,,11,100,12.1,12.2,
33996,Kenneth Walker III,KC,RB,,12,100,16.5,16.5,
41791,Ashton Jeanty,LV,RB,Q,13,100,14.4,14.3,
40196,Chase Brown,CIN,RB,,14,100,16.5,16.4,
32692,Justin Jefferson,MIN,WR,,15,100,12.8,12.7,
40118,De'Von Achane,MIA,RB,,16,100,15.7,15.6,
41807,Omarion Hampton,LAC,RB,,17,100,18.7,18.7,
29279,Derrick Henry,BAL,RB,,18,100,18,18,
33963,Drake London,ATL,WR,,19,100,19,19,
40878,Brock Bowers,LV,TE,,20,100,21.2,21.1,
33477,Nico Collins,HOU,WR,,21,100,22.4,22.3,
34007,George Pickens,DAL,WR,,22,100,22.4,22.4,
31883,A.J. Brown,NE,WR,,23,100,24.8,24.8,
40899,Malik Nabers,NYG,WR,Q,24,100,32.4,32.5,
33398,DeVonta Smith,PHI,WR,,25,100,29.6,29.5,
33966,Chris Olave,NO,WR,,26,100,33.1,33,
34120,Kyren Williams,LAR,RB,,27,100,29.2,29.2,
30977,Josh Allen,BUF,QB,,28,100,19.7,19.8,
34010,Trey McBride,ARI,TE,,29,100,25.9,25.8,
32703,Tee Higgins,CIN,WR,,30,100,33.5,33.5,
40039,Zay Flowers,BAL,WR,,31,100,36.4,36.5,
33991,Breece Hall,NYJ,RB,Q,32,100,35.4,35.4,
33394,Jaylen Waddle,DEN,WR,,33,100,42,42.1,
42625,Jeremiyah Love,ARI,RB,Q,34,100,28.2,28,
33423,Javonte Williams,DAL,RB,,35,100,34.8,34.6,
40084,Rashee Rice,KC,WR,,36,100,34.5,34.3,
41793,Tetairoa McMillan,CAR,WR,,37,100,41.9,41.8,
41795,Colston Loveland,CHI,TE,,38,100,39.7,39.6,
40908,Ladd McConkey,LAC,WR,,39,100,45.6,45.6,
31856,Josh Jacobs,GB,RB,Q,40,100,33.5,33.2,
33965,Garrett Wilson,NYJ,WR,,41,100,49.5,49.4,
33413,Travis Etienne Jr.,NO,RB,,42,100,43.3,43.2,
41804,Emeka Egbuka,TB,WR,Q,43,100,43.8,43.7,
32705,D'Andre Swift,CHI,RB,,44,100,47.5,47.5,
31908,Terry McLaurin,WAS,WR,,45,100,54.1,54.1,
41824,Luther Burden III,CHI,WR,Q,46,100,58.9,58.7,
41922,Cam Skattebo,NYG,RB,,47,100,41.8,41.6,
41799,Tyler Warren,IND,TE,Q,48,100,47.3,47.2,
30994,DJ Moore,BUF,WR,,49,100,62.2,62.3,
31002,Lamar Jackson,BAL,QB,,50,100,37.5,37.6,
41821,Quinshon Judkins,CLE,RB,Q,51,100,53.4,53.2,
40901,Rome Odunze,CHI,WR,,52,100,67.7,67.8,
33967,Jameson Williams,DET,WR,,53,100,66.1,65.9,
31905,David Montgomery,HOU,RB,,54,100,52.5,52.4,
33989,Christian Watson,GB,WR,,55,100,67.7,67.7,
40234,Parker Washington,JAX,WR,Q,56,100,82.4,82.5,
27581,Davante Adams,LAR,WR,,57,100,54.1,53.6,
40993,Bucky Irving,TB,RB,,58,100,55.4,55.1,
41900,Bhayshul Tuten,JAX,RB,,59,100,62.7,62.4,
27535,Mike Evans,SF,WR,Q,60,100,67.2,66.9,
40881,Drake Maye,NE,QB,,61,100,47.2,47.3,
40896,Jayden Daniels,WAS,QB,,62,100,53.9,54,
32671,Joe Burrow,CIN,QB,,63,100,48.9,48.9,
42654,Jadarian Price,SEA,RB,,64,100,66.2,65.9,
32723,Jalen Hurts,PHI,QB,,65,100,56.7,56.9,
41823,TreVeyon Henderson,NE,RB,Q,66,100,62.9,62.5,
40102,Tucker Kraft,GB,TE,Q,67,100,60.8,60.9,
33508,Rhamondre Stevenson,NE,RB,,68,100,80.4,80.3,
40893,Marvin Harrison Jr.,ARI,WR,,69,100,78.9,78.7,
40064,Sam LaPorta,DET,TE,Q,70,100,62.9,63,
34447,Jaylen Warren,PIT,RB,,71,100,77,76.8,
40900,Caleb Williams,CHI,QB,,72,100,67.8,68.1,
40883,Brian Thomas Jr.,JAX,WR,,73,100,84.1,83.9,
42626,Carnell Tate,TEN,WR,,74,100,80.3,79.9,
32676,Justin Herbert,LAC,QB,,75,100,69.6,69.7,
40926,Jonathon Brooks,CAR,RB,,76,92,97.7,97.9,
31896,DK Metcalf,PIT,WR,Q,77,100,86.5,86.3,
41877,Harold Fannin Jr.,CLE,TE,,78,100,71.3,71.4,
31960,Tony Pollard,TEN,RB,,79,100,85.7,85.5,
33100,Rico Dowdle,PIT,RB,,80,100,87.3,87.1,
33389,Trevor Lawrence,JAX,QB,,81,100,84.6,84.8,
29369,Dak Prescott,DAL,QB,,82,100,74.3,74.3,
33392,Kyle Pitts Sr.,ATL,TE,,83,100,72.7,72.9,
32725,J.K. Dobbins,DEN,RB,,84,100,96.9,96.8,
40121,Michael Wilson,ARI,WR,,85,98,103.3,103.2,
30197,Chris Godwin Jr.,TB,WR,,86,100,97.9,97.8,
28534,Stefon Diggs,WAS,WR,,87,70,107.8,108.3,
42010,Jacory Croskey-Merritt,WAS,RB,Q,88,92,111.3,111.4,
42655,De'Zhaun Stribling,SF,WR,Q,89,27,116,116.4,
40126,Josh Downs,IND,WR,,90,96,109,109.3,
40962,Blake Corum,LAR,RB,,91,100,99.9,99.6,
40051,Quentin Johnston,LAC,WR,Q,92,94,109.5,109.4,
30259,George Kittle,SF,TE,Q,93,100,86.7,87,
40042,Jordan Addison,MIN,WR,,94,96,117.2,117.4,
40063,Jayden Reed,GB,WR,,95,94,119.3,119.4,
33514,Chuba Hubbard,CAR,RB,Q,96,100,84.5,83.7,
34218,Brock Purdy,SF,QB,,97,99,98.2,98.3,
31010,Courtland Sutton,DEN,WR,,98,99,103.3,103.1,
34008,Alec Pierce,IND,WR,PUP,99,99,92.1,91.3,
40875,Bo Nix,DEN,QB,,100,99,99.7,99.9,
34320,Jordan Mason,MIN,RB,,101,88,116.1,116.2,
32704,Michael Pittman Jr.,PIT,WR,Q,102,94,120,119.9,
41810,Jaxson Dart,NYG,QB,,103,100,88.2,87.8,
42646,KC Concepcion,CLE,WR,,104,36,128,128.3,
41808,Matthew Golden,GB,WR,,105,57,128.1,128.3,
40048,Dalton Kincaid,BUF,TE,,106,100,98.6,99.1,
42642,Makai Lemon,PHI,WR,,107,92,112.1,111.8,
42025,Kyle Monangai,CHI,RB,Q,108,98,104.3,103.8,
41845,RJ Harvey,DEN,RB,,109,98,103.9,103.5,
31833,Kyler Murray,MIN,QB,,110,93,111.7,111.7,
34047,Rachaad White,WAS,RB,Q,111,80,122.3,122.1,
41293,Jalen Coker,CAR,WR,,112,20,133.3,133.3,
9265,Matthew Stafford,LAR,QB,,113,99,100.3,100.5,
33538,Kenny Gainwell,TB,RB,,114,89,118.2,118,
40231,Chris Rodriguez Jr.,JAX,RB,,115,40,131.8,131.8,
31019,Dallas Goedert,PHI,TE,,116,99,106.3,106.4,
30123,Patrick Mahomes,KC,QB,Q,117,99,100.1,99.9,
26686,Travis Kelce,KC,TE,,118,100,93.8,93.9,
29235,Jared Goff,DET,QB,,119,93,114.4,114.5,
32231,Jakobi Meyers,JAX,WR,Q,120,60,129.1,129,
33998,Wan'Dale Robinson,TEN,WR,,121,43,130.9,130.9,
34088,Romeo Doubs,NE,WR,,122,26,131.8,131.8,
34095,Isaiah Likely,NYG,TE,,123,99,109.2,109.1,
42630,Jordyn Tyson,NO,WR,D,124,92,94.3,94,
30295,Aaron Jones Sr.,MIN,RB,,125,71,123.2,123,
40641,Keaton Mitchell,LAC,RB,,126,12,131.9,131.9,
40877,Xavier Worthy,KC,WR,Q,127,46,128.7,128.8,
31056,Mark Andrews,BAL,TE,,128,98,113.3,113.4,
