yahooId,name,team,position,status,injuryType,depthChart,rawPlayerText
43435,Brock Rechsteiner,NO,WR,SUSP,Suspension,NO,Brock RechsteinerSUSPNo new player Notes NO - WR Sun 1:00 pm @ Det
40093,Cedric Tillman,CLE,WR,Q,Undisclosed,Cle,Cedric TillmanQPlayer Note Cle - WR Sun 1:00 pm @ Jax
33535,Brevin Jordan,HOU,TE,Q,Knee,Hou,Brevin JordanQNo new player Notes Hou - TE Sun 1:00 pm vs Buf
40890,Xavier Legette,CAR,WR,Q,Ankle,Car,Xavier LegetteQNew Player Note Car - WR Sun 1:00 pm vs Chi
40889,Michael Penix Jr.,ATL,QB,Q,Knee - ACL,Atl,Michael Penix Jr.QVideo ForecastNew Player Note Atl - QB Sun 1:00 pm @ Pit
42025,Kyle Monangai,CHI,RB,Q,Knee,Chi,Kyle MonangaiQPlayer Note Chi - RB Sun 1:00 pm @ Car
42027,Caleb Lohner,DEN,TE,Q,Lower Body,Den,Caleb LohnerQNo new player Notes Den - TE Mon 8:15 pm @ KC
43197,Noah Whittington,HOU,RB,Q,Ankle,Hou,Noah WhittingtonQPlayer Note Hou - RB Sun 1:00 pm vs Buf
41885,Jaylin Noel,HOU,WR,Q,Hamstring,Hou,Jaylin NoelQVideo ForecastPlayer Note Hou - WR Sun 1:00 pm vs Buf
42870,Carsen Ryan,CLE,TE,Q,Foot,Cle,Carsen RyanQPlayer Note Cle - TE Sun 1:00 pm @ Jax
40877,Xavier Worthy,KC,WR,Q,Shoulder,KC,Xavier WorthyQVideo ForecastPlayer Note KC - WR Mon 8:15 pm vs Den
31017,Christian Kirk,SF,WR,Q,Calf,SF,Christian KirkQPlayer Note SF - WR Thu 8:35 pm @ LAR
42030,Tez Johnson,TB,WR,Q,Groin,TB,Tez JohnsonQNo new player Notes TB - WR Sun 1:00 pm @ Cin
33512,John Bates,WAS,TE,Q,Hamstring,Was,John BatesQPlayer Note Was - TE Sun 4:25 pm @ Phi
33514,Chuba Hubbard,CAR,RB,Q,Hamstring,Car,Chuba HubbardQVideo ForecastNew Player Note Car - RB Sun 1:00 pm vs Chi
40707,Emanuel Wilson,SEA,RB,Q,Hamstring,Sea,Emanuel WilsonQVideo ForecastPlayer Note Sea - RB Wed 8:20 pm vs NE
42887,Michael Trigg,DAL,TE,Q,Toe,Dal,Michael TriggQPlayer Note Dal - TE Sun 8:20 pm @ NYG
41262,Dayton Wade,BAL,WR,Q,Undisclosed,Bal,Dayton WadeQNo new player Notes Bal - WR Sun 1:00 pm @ Ind
33710,Brandon Smith,PIT,WR,Q,Undisclosed,Pit,Brandon SmithQPlayer Note Pit - WR Sun 1:00 pm vs Atl
42780,Adam Randall,BAL,RB,Q,Undisclosed,Bal,Adam RandallQPlayer Note Bal - RB Sun 1:00 pm @ Ind
42772,Joe Royer,CLE,TE,Q,Personal,Cle,Joe RoyerQPlayer Note Cle - TE Sun 1:00 pm @ Jax
40504,Tyson Bagent,CHI,QB,Q,Hamstring,Chi,Tyson BagentQPlayer Note Chi - QB Sun 1:00 pm @ Car
33991,Breece Hall,NYJ,RB,Q,Groin,NYJ,Breece HallQVideo ForecastNew Player Note NYJ - RB Sun 1:00 pm @ Ten
42747,Skyler Bell,BUF,WR,Q,Lower Body,Buf,Skyler BellQPlayer Note Buf - WR Sun 1:00 pm @ Hou
42727,Brenen Thompson,LAC,WR,Q,Undisclosed,LAC,Brenen ThompsonQNew Player Note LAC - WR Sun 4:25 pm vs Ari
41791,Ashton Jeanty,LV,RB,Q,Ankle,LV,Ashton JeantyQVideo ForecastNew Player Note LV - RB Sun 4:25 pm vs Mia
30275,Jeremy McNichols,WAS,RB,Q,Quadriceps,Was,Jeremy McNicholsQPlayer Note Was - RB Sun 4:25 pm @ Phi
30259,George Kittle,SF,TE,Q,Achilles,SF,George KittleQVideo ForecastPlayer Note SF - TE Thu 8:35 pm @ LAR
34047,Rachaad White,WAS,RB,Q,Calf,Was,Rachaad WhiteQVideo ForecastNew Player Note Was - RB Sun 4:25 pm @ Phi
34061,Danny Gray,PHI,WR,Q,Concussion,Phi,Danny GrayQNo new player Notes Phi - WR Sun 4:25 pm vs Was
34062,Cade Otton,TB,TE,Q,Undisclosed,TB,Cade OttonQVideo ForecastPlayer Note TB - TE Sun 1:00 pm @ Cin
41892,Dont'e Thornton Jr.,LV,WR,Q,Undisclosed,LV,Dont'e Thornton Jr.QNew Player Note LV - WR Sun 4:25 pm vs Mia
31180,Braxton Berrios,NYG,WR,Q,Undisclosed,NYG,Braxton BerriosQVideo ForecastPlayer Note NYG - WR Sun 8:20 pm vs Dal
30218,James Conner,ARI,RB,Q,Foot,Ari,James ConnerQVideo ForecastPlayer Note Ari - RB Sun 4:25 pm @ LAC
41969,Ollie Gordon II,MIA,RB,Q,Ribs,Mia,Ollie Gordon IIQPlayer Note Mia - RB Sun 4:25 pm @ LV
41031,Isaiah Davis,NYJ,RB,Q,Knee,NYJ,Isaiah DavisQPlayer Note NYJ - RB Sun 1:00 pm @ Ten
41033,Rasheen Ali,BAL,RB,Q,Undisclosed,Bal,Rasheen AliQPlayer Note Bal - RB Sun 1:00 pm @ Ind
41045,Bub Means,NO,WR,Q,Hamstring,NO,Bub MeansQPlayer Note NO - WR Sun 1:00 pm @ Det
41046,Anthony Gould,IND,WR,Q,Groin,Ind,Anthony GouldQPlayer Note Ind - WR Sun 1:00 pm vs Bal
41937,DJ Giddens,IND,RB,Q,Hamstring,Ind,DJ GiddensQPlayer Note Ind - RB Sun 1:00 pm vs Bal
41006,Sione Vaki,DET,RB,Q,Back,Det,Sione VakiQPlayer Note Det - RB Sun 1:00 pm vs NO
41003,Theo Johnson,NYG,TE,Q,Undisclosed,NYG,Theo JohnsonQNew Player Note NYG - TE Sun 8:20 pm vs Dal
32704,Michael Pittman Jr.,PIT,WR,Q,Hamstring,Pit,Michael Pittman Jr.QNew Player Note Pit - WR Sun 1:00 pm vs Atl
43085,J. Michael Sturdivant,GB,WR,Q,Concussion,GB,J. Michael SturdivantQNo new player Notes GB - WR Sun 4:25 pm @ Min
41952,Tory Horton,SEA,WR,Q,Undisclosed,Sea,Tory HortonQPlayer Note Sea - WR Wed 8:20 pm vs NE
32231,Jakobi Meyers,JAX,WR,Q,Hand,Jax,Jakobi MeyersQVideo ForecastPlayer Note Jax - WR Sun 1:00 pm vs Cle
41933,Jordan James,SF,RB,Q,Ribs,SF,Jordan JamesQPlayer Note SF - RB Thu 8:35 pm @ LAR
32018,Ty Johnson,BUF,RB,Q,Lower Leg,Buf,Ty JohnsonQNew Player Note Buf - RB Sun 1:00 pm @ Hou
41064,Jawhar Jordan,HOU,RB,Q,Hip,Hou,Jawhar JordanQNo new player Notes Hou - RB Sun 1:00 pm vs Buf
42018,Phil Mafah,DAL,RB,Q,Chest,Dal,Phil MafahQPlayer Note Dal - RB Sun 8:20 pm @ NYG
40090,Marvin Mims Jr.,DEN,WR,Q,Undisclosed,Den,Marvin Mims Jr.QVideo ForecastPlayer Note Den - WR Mon 8:15 pm @ KC
41972,Devin Neal,NO,RB,Q,Hamstring,NO,Devin NealQPlayer Note NO - RB Sun 1:00 pm @ Det
41986,Kalel Mullings,TEN,RB,Q,Hip,Ten,Kalel MullingsQNo new player Notes Ten - RB Sun 1:00 pm vs NYJ
40954,Jalen McMillan,TB,WR,Q,Knee,TB,Jalen McMillanQPlayer Note TB - WR Sun 1:00 pm @ Cin
31896,DK Metcalf,PIT,WR,Q,Undisclosed,Pit,DK MetcalfQVideo ForecastNew Player Note Pit - WR Sun 1:00 pm vs Atl
42006,Moliki Matavao,NO,TE,Q,Knee,NO,Moliki MatavaoQPlayer Note NO - TE Sun 1:00 pm @ Det
42007,LeQuint Allen Jr.,JAX,RB,Q,Undisclosed,Jax,LeQuint Allen Jr.QPlayer Note Jax - RB Sun 1:00 pm vs Cle
40911,Keon Coleman,BUF,WR,Q,Foot,Buf,Keon ColemanQVideo ForecastPlayer Note Buf - WR Sun 1:00 pm @ Hou
42904,Haynes King,CAR,QB,Q,Hamstring,Car,Haynes KingQVideo ForecastNo new player Notes Car - QB Sun 1:00 pm vs Chi
31856,Josh Jacobs,GB,RB,Q,Groin,GB,Josh JacobsQVideo ForecastNew Player Note GB - RB Sun 4:25 pm @ Min
43164,Chase Curtis,NYJ,TE,Q,Knee,NYJ,Chase CurtisQPlayer Note NYJ - TE Sun 1:00 pm @ Ten
40905,J.J. McCarthy,MIN,QB,Q,Undisclosed,Min,J.J. McCarthyQVideo ForecastPlayer Note Min - QB Sun 4:25 pm vs GB
42010,Jacory Croskey-Merritt,WAS,RB,Q,Undisclosed,Was,Jacory Croskey-MerrittQVideo ForecastNew Player Note Was - RB Sun 4:25 pm @ Phi
40899,Malik Nabers,NYG,WR,Q,Knee - ACL,NYG,Malik NabersQVideo ForecastNew Player Note NYG - WR Sun 8:20 pm vs Dal
41840,Tre' Harris,LAC,WR,Q,Undisclosed,LAC,Tre' HarrisQPlayer Note LAC - WR Sun 4:25 pm vs Ari
41019,Audric Estime,NO,RB,Q,Ankle,NO,Audric EstimeQNew Player Note NO - RB Sun 1:00 pm @ Det
40335,Ben Sims,MIA,TE,Q,Undisclosed,Mia,Ben SimsQNo new player Notes Mia - TE Sun 4:25 pm @ LV
28390,Marcus Mariota,WAS,QB,Q,Knee - MCL,Was,Marcus MariotaQPlayer Note Was - QB Sun 4:25 pm @ Phi
42638,Kenyon Sadiq,NYJ,TE,Q,Abdomen,NYJ,Kenyon SadiqQNew Player Note NYJ - TE Sun 1:00 pm @ Ten
40226,Elijah Higgins,ARI,TE,Q,Concussion,Ari,Elijah HigginsQPlayer Note Ari - TE Sun 4:25 pm @ LAC
34154,Grant Calcaterra,PHI,TE,Q,Back,Phi,Grant CalcaterraQPlayer Note Phi - TE Sun 4:25 pm vs Was
42625,Jeremiyah Love,ARI,RB,Q,Ankle,Ari,Jeremiyah LoveQVideo ForecastNew Player Note Ari - RB Sun 4:25 pm @ LAC
42201,Da'Quan Felton,NYJ,WR,Q,Undisclosed,NYJ,Da'Quan FeltonQNo new player Notes NYJ - WR Sun 1:00 pm @ Ten
34207,Isiah Pacheco,DET,RB,Q,Knee - MCL,Det,Isiah PachecoQVideo ForecastNo new player Notes Det - RB Sun 1:00 pm vs NO
41824,Luther Burden III,CHI,WR,Q,Groin,Chi,Luther Burden IIIQVideo ForecastPlayer Note Chi - WR Sun 1:00 pm @ Car
41823,TreVeyon Henderson,NE,RB,Q,Lower Leg,NE,TreVeyon HendersonQVideo ForecastNew Player Note NE - RB Wed 8:20 pm @ Sea
34378,Britain Covey,PHI,WR,Q,Hamstring,Phi,Britain CoveyQNo new player Notes Phi - WR Sun 4:25 pm vs Was
41821,Quinshon Judkins,CLE,RB,Q,Undisclosed,Cle,Quinshon JudkinsQVideo ForecastNew Player Note Cle - RB Sun 1:00 pm @ Jax
40168,Puka Nacua,LAR,WR,Q,Groin,LAR,Puka NacuaQVideo ForecastNew Player Note LAR - WR Thu 8:35 pm vs SF
40164,Davis Allen,LAR,TE,Q,Quadriceps,LAR,Davis AllenQPlayer Note LAR - TE Thu 8:35 pm vs SF
41480,British Brooks,HOU,RB,Q,Hand,Hou,British BrooksQNo new player Notes Hou - RB Sun 1:00 pm vs Buf
34125,Ty Chandler,NO,RB,Q,Knee,NO,Ty ChandlerQNew Player Note NO - RB Sun 1:00 pm @ Det
34592,Dennis Houston,TB,WR,Q,Groin,TB,Dennis HoustonQPlayer Note TB - WR Sun 1:00 pm @ Cin
40128,Jalin Hyatt,NYG,WR,Q,Leg,NYG,Jalin HyattQPlayer Note NYG - WR Sun 8:20 pm vs Dal
27535,Mike Evans,SF,WR,Q,Quadriceps,SF,Mike EvansQVideo ForecastNew Player Note SF - WR Thu 8:35 pm @ LAR
26753,Kyle Juszczyk,SF,RB,Q,Finger,SF,Kyle JuszczykQNo new player Notes SF - RB Thu 8:35 pm @ LAR
42284,Lan Larison,NE,RB,Q,Undisclosed,NE,Lan LarisonQNew Player Note NE - RB Wed 8:20 pm @ Sea
41804,Emeka Egbuka,TB,WR,Q,Toe,TB,Emeka EgbukaQVideo ForecastPlayer Note TB - WR Sun 1:00 pm @ Cin
40051,Quentin Johnston,LAC,WR,Q,Lower Body,LAC,Quentin JohnstonQVideo ForecastPlayer Note LAC - WR Sun 4:25 pm vs Ari
40102,Tucker Kraft,GB,TE,Q,Knee - ACL,GB,Tucker KraftQVideo ForecastPlayer Note GB - TE Sun 4:25 pm @ Min
41661,Jabari Small,DET,RB,Q,Concussion,Det,Jabari SmallQPlayer Note Det - RB Sun 1:00 pm vs NO
41799,Tyler Warren,IND,TE,Q,Groin,Ind,Tyler WarrenQVideo ForecastPlayer Note Ind - TE Sun 1:00 pm vs Bal
40097,Tank Dell,HOU,WR,Q,Knee - ACL + MCL,Hou,Tank DellQVideo ForecastPlayer Note Hou - WR Sun 1:00 pm vs Buf
40064,Sam LaPorta,DET,TE,Q,Hip,Det,Sam LaPortaQVideo ForecastPlayer Note Det - TE Sun 1:00 pm vs NO
