yahooId,name,team,position,status,injuryType,gp,bye,fanPts,preSeasonRank,actualRank,percentRostered,rushAtt,targets,receptions,rushYds,recYds,rushTd,recTd,fortyYdRush,fortyYdRec
40059,Jahmyr Gibbs,DET,RB,,,16,6,300.78,1,1,100,258,81.6,63.8,1241,536,11.5,3.2,2.3,0.7
40055,Bijan Robinson,ATL,RB,,,16,11,298.98,2,2,100,269,88.6,69.2,1250,641,8.6,3.6,2.2,0.7
33393,Ja'Marr Chase,CIN,WR,,,16,6,267.7,3,3,100,3.4,172,118,18.5,1426,0.1,10.1,0,3.3
40168,Puka Nacua,LAR,WR,Q,Groin,15,11,263.76,4,4,100,11.5,153,109,73.8,1433,0.3,8.9,0,3.5
30121,Christian McCaffrey,SF,RB,Q,Undisclosed,15,8,267.7,5,5,100,240,88.1,69.5,950,627,8.5,4.3,0.8,0.2
32711,Jonathan Taylor,IND,RB,,,15,13,260.28,6,6,100,297,45.3,38.3,1378,306,10.5,1.4,2.5,0.1
33500,Amon-Ra St. Brown,DET,WR,,,16,6,253.16,7,7,100,2.1,158,112,11.1,1359,0.1,9.6,0,2.3
40041,Jaxon Smith-Njigba,SEA,WR,,,16,11,256.98,8,8,100,6.7,150,103,37.8,1450,0.1,8.8,0,3.5
34019,James Cook III,BUF,RB,,,16,7,233.61,9,9,100,266,40.2,31.7,1274,267,8.8,1.8,1.8,0.1
32687,CeeDee Lamb,DAL,WR,,,16,14,230.42,10,10,100,2.6,144,96.4,11.8,1301,0.1,8.1,0,2
30972,Saquon Barkley,PHI,RB,,,15,10,223.03,11,11,100,268,50.7,37.1,1144,291,7.8,2.1,2.1,0.1
33996,Kenneth Walker III,KC,RB,,,15,5,218.84,12,12,100,244,49.9,39.2,1070,330,7.8,2,1.2,0.1
41791,Ashton Jeanty,LV,RB,Q,Ankle,14,13,210.39,13,13,100,258,58.7,47.3,1021,328,6.7,2,1.5,0.6
40196,Chase Brown,CIN,RB,,,16,6,226.67,14,14,100,219,73.2,57.6,916,407,8.1,3,0.9,0.2
32692,Justin Jefferson,MIN,WR,,,16,6,223.91,15,15,100,1.9,155,95.2,10.3,1245,0.1,7.9,0,2.9
40118,De'Von Achane,MIA,RB,,,15,6,244.9,16,16,100,228,73.9,59.2,1124,442,6.1,3.6,2.4,0.7
41807,Omarion Hampton,LAC,RB,,,15,7,207.13,17,17,100,222,57.7,45.5,967,312,7.7,1.9,1.1,0.1
29279,Derrick Henry,BAL,RB,,,15,13,230.34,18,18,100,269,23.5,18.5,1324,166,10.9,1,2.3,0.1
33963,Drake London,ATL,WR,,,16,11,223.2,19,19,100,0.3,151,92.6,2,1245,0,8.1,0,2.4
40878,Brock Bowers,LV,TE,,,16,13,181.73,20,20,100,3.2,130,90.2,11.4,950,0,6.5,0,1.3
33477,Nico Collins,HOU,WR,,,15,8,216.82,21,21,100,2.3,133,81.1,13.9,1232,0.1,7.8,0,3.2
34007,George Pickens,DAL,WR,,,16,14,216.79,22,22,100,0.6,127,82,3.4,1247,0,7.8,0,3.3
31883,A.J. Brown,NE,WR,,,15,11,192.5,23,23,100,0.7,121,78,3.5,1064,0.1,7.2,0,2.5
40899,Malik Nabers,NYG,WR,Q,Knee - ACL,14,8,185.77,24,24,99,2.3,129,79.1,8.3,998,0,7,0,2.5
33398,DeVonta Smith,PHI,WR,,,16,10,190.99,25,25,100,0.6,131,82.2,3.4,1070,0,6.8,0,1.9
33966,Chris Olave,NO,WR,,,15,8,197.27,26,26,99,0.7,138,85.1,4.5,1068,0,7.2,0,3
34120,Kyren Williams,LAR,RB,,,16,11,197.77,27,27,99,221,38.6,29.8,994,216,8.7,1.8,0.7,0.1
30977,Josh Allen,BUF,QB,,,16,7,341.92,28,28,100,105,0,0,515,0,8.3,0,0.2,0
34010,Trey McBride,ARI,TE,,,16,14,188.14,29,29,100,0,134,95.6,0,964,0,7.2,0,0.8
32703,Tee Higgins,CIN,WR,,,15,6,182.93,30,30,99,0.7,110,71.2,3.5,1019,0,6.9,0,2.5
40039,Zay Flowers,BAL,WR,,,16,13,208.02,31,31,99,7.5,126,84.4,47.9,1169,0.1,7,0,2.6
33991,Breece Hall,NYJ,RB,Q,Groin,15,13,204,32,32,99,241,45,36.9,1051,325,6,2.2,1.1,0.1
33394,Jaylen Waddle,DEN,WR,,,16,10,182.87,33,33,98,2.2,118,76,16.2,1019,0.1,6.5,0,1.9
42625,Jeremiyah Love,ARI,RB,Q,Ankle,15,14,206.25,34,34,99,203,65.5,51.6,866,455,5.6,2.4,1.3,0.2
33423,Javonte Williams,DAL,RB,,,16,14,197.8,35,35,99,232,44.1,33.5,1014,188,8.6,1.6,0.6,0.1
40084,Rashee Rice,KC,WR,,,15,5,199.92,36,36,99,6.7,136,86.3,45.2,997,0.3,8.1,0,2
41793,Tetairoa McMillan,CAR,WR,,,16,5,184.61,37,37,98,0.7,128,74.8,3.3,1066,0,6.1,0,2.6
41795,Colston Loveland,CHI,TE,,,16,10,161.04,38,38,100,0.3,107,73,1.3,848,0,6.4,0,1.3
40908,Ladd McConkey,LAC,WR,,,16,7,167.71,39,39,97,1.1,116,73.6,6,927,0,6,0,1.8
31856,Josh Jacobs,GB,RB,Q,Groin,14,11,207.21,40,40,99,241,42.8,32.2,993,256,9.7,1.4,1.1,0.1
33965,Garrett Wilson,NYJ,WR,,,16,13,163.22,41,41,97,1.9,128,77.9,8.3,916,0,5,0,1.8
33413,Travis Etienne Jr.,NO,RB,,,15,8,190.4,42,42,97,228,46.4,36.3,939,286,6.1,2,0.9,0.1
41804,Emeka Egbuka,TB,WR,Q,Toe,16,10,168.04,43,43,98,2.1,120,66.5,11.5,938,0,6.3,0,1.9
32705,D'Andre Swift,CHI,RB,,,15,10,182.05,44,44,97,206,44.7,31,927,249,7.2,1,1.1,0.1
31908,Terry McLaurin,WAS,WR,,,16,7,173.47,45,45,96,0.7,114,68.8,3.8,988,0,6.2,0,2.4
