yahooId,name,team,position,status,injuryType,gp,bye,fanPts,preSeasonRank,actualRank,percentRostered,rushAtt,targets,receptions,rushYds,recYds,rushTd,recTd,fortyYdRush,fortyYdRec
40059,Jahmyr Gibbs,DET,RB,,,1,6,18.6,1,5,100,16.3,4.9,3.9,77.8,30.2,0.8,0.2,0.1,0
40055,Bijan Robinson,ATL,RB,,,1,11,18.49,2,7,100,17.3,5.3,4.3,79,38.8,0.5,0.2,0.1,0
33393,Ja'Marr Chase,CIN,WR,,,1,6,16.47,3,8,100,0.2,10.1,7.1,1.1,88.3,0,0.6,0,0.1
40168,Puka Nacua,LAR,WR,Q,Groin,1,11,16.31,4,15,100,0.6,9.5,7,4.2,90.5,0,0.5,0,0.1
30121,Christian McCaffrey,SF,RB,Q,Undisclosed,1,8,16.51,5,19,100,15,5.5,4.4,60,36,0.5,0.3,0.1,0
32711,Jonathan Taylor,IND,RB,,,1,13,16.15,6,20,100,17.5,3.4,2.7,80,21.1,0.6,0.1,0.1,0
33500,Amon-Ra St. Brown,DET,WR,,,1,6,15.97,7,21,100,0.2,10.1,6.9,0.8,85.1,0,0.6,0,0.1
40041,Jaxon Smith-Njigba,SEA,WR,,,1,11,15.63,8,31,100,0.4,9.4,6.5,2.1,88.9,0,0.5,0,0.1
34019,James Cook III,BUF,RB,,,1,7,13.29,9,45,100,15.2,2.8,2.1,71.8,15.8,0.5,0.1,0.1,0
32687,CeeDee Lamb,DAL,WR,,,1,14,13.68,10,37,100,0.2,8.5,5.7,0.8,77.6,0,0.5,0,0.1
30972,Saquon Barkley,PHI,RB,,,1,10,13.93,11,38,100,16.2,3.1,2.3,70.4,18.3,0.5,0.1,0.1,0
33996,Kenneth Walker III,KC,RB,,,1,5,12.55,12,52,100,14.7,3.2,2.4,62.1,19.2,0.4,0.1,0.1,0
41791,Ashton Jeanty,LV,RB,Q,Ankle,1,13,12.95,13,40,100,15.3,3.3,3,60.9,18.4,0.4,0.1,0.1,0
40196,Chase Brown,CIN,RB,,,1,6,14.03,14,41,100,13.2,4.6,3.7,55.4,24.9,0.5,0.2,0.1,0
32692,Justin Jefferson,MIN,WR,,,1,6,13.84,15,42,100,0.1,9.7,6.1,0.6,79.1,0,0.4,0,0.1
40118,De'Von Achane,MIA,RB,,,1,6,15.07,16,34,100,13.6,4.2,3.7,67.6,26,0.4,0.2,0.1,0
41807,Omarion Hampton,LAC,RB,,,1,7,13.75,17,39,100,13.9,3.7,3.1,62.5,19.5,0.5,0.1,0.1,0
29279,Derrick Henry,BAL,RB,,,1,13,13.61,18,43,100,16.3,1.5,1.2,76.2,10.4,0.7,0.1,0.1,0
33963,Drake London,ATL,WR,,,1,11,13.43,19,44,100,0,8.9,5.6,0.1,75.8,0,0.5,0,0.1
40878,Brock Bowers,LV,TE,,,1,13,11.59,20,64,100,0.2,7.4,5.8,0.7,60.3,0,0.4,0,0
33477,Nico Collins,HOU,WR,,,1,8,12.65,21,63,100,0.1,8.4,4.9,0.8,73.1,0,0.4,0,0.1
34007,George Pickens,DAL,WR,,,1,14,12.69,22,47,100,0,7.4,4.8,0.2,74.3,0,0.5,0,0.1
31883,A.J. Brown,NE,WR,,,1,11,11.23,23,66,100,0,7.4,4.7,0.1,62.1,0,0.4,0,0.1
40899,Malik Nabers,NYG,WR,Q,Knee - ACL,1,8,11.52,24,60,99,0.1,7.8,4.9,0.4,61.1,0,0.5,0,0.1
33398,DeVonta Smith,PHI,WR,,,1,10,12.09,25,62,100,0,7.6,5.1,0.2,68.6,0,0.4,0,0.1
33966,Chris Olave,NO,WR,,,1,8,12.1,26,65,99,0,9.2,5.2,0.2,66.8,0,0.4,0,0.1
34120,Kyren Williams,LAR,RB,,,1,11,12.49,27,50,99,13.3,2.3,1.9,61.4,13,0.6,0.1,0.1,0
30977,Josh Allen,BUF,QB,,,1,7,18.9,28,2,100,5.9,0,0,27.4,0,0.4,0,0,0
34010,Trey McBride,ARI,TE,,,1,14,10.72,29,76,100,0,8.3,5.7,0,56,0,0.4,0,0
32703,Tee Higgins,CIN,WR,,,1,6,11.74,30,51,99,0,6.7,4.3,0.2,63.7,0,0.5,0,0.1
40039,Zay Flowers,BAL,WR,,,1,13,13.25,31,54,99,0.4,8,5.4,2.5,75.4,0,0.4,0,0.1
33991,Breece Hall,NYJ,RB,Q,Groin,1,13,12.63,32,59,99,15.1,2.6,2.2,64.9,19.8,0.4,0.1,0.1,0
